County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,X,Y
Dutchess,131072,Store,JAC,MAXIMO POK INC,MY MARKET II,53,RAYMOND AVE,,,POUGHKEEPSIE,NY,12603,2200,-73.900633,41.692222
Dutchess,130273,Store,A,LAWRENCE F SHEEHAN ENTERPRSES INC,SUNOCO,2,VASSAR RD,,,POUGHKEEPSIE,NY,12603,200,-73.874725,41.655148
Dutchess,136162,Store,JABC,PRICE CHOPPER OPERATING CO INC,PRICE CHOPPER 129,2585,SOUTH RD HUDSON PLAZA,,,POUGHKEEPSIE,NY,12601,64500,,
Dutchess,748467,Store,JAC,FULL MOON FORMAGGIO LLC,FULL MOON FORMAGGIO,8,N CHERRY ST,,,POUGHKEEPSIE,NY,12601,800,-73.917797,41.701441
Dutchess,714923,Store,A,LILIAN SMOKE SHOP & DELI 2 INC,LILIAN SMOKE SHOP & DEL,519,MAIN ST,,,POUGHKEEPSIE,NY,12601,700,-73.918291,41.700856
Dutchess,130618,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 00597,40,VASSAR RD,,,POUGHKEEPSIE,NY,12603,6000,-73.874943,41.652821
Dutchess,740624,Store,JAC,ASH BREEZE TRADING COMPANY,ASH BREEZE TRADING COMP,8,NORTH CHERRY ST,,,POUGHKEEPSIE,NY,12601,0,-73.917797,41.701441
Dutchess,704077,Store,JAC,GURUSAI CORP,GARDEN STREET DELI,75,GARDEN ST.,,,POUGHKEEPSIE,NY,12601,1400,-73.925785,41.706587
Dutchess,748967,Store,A,L&M ONE STOP CONVENIENCE LLC,L&M ONE STOP CONVENIENC,558,MAIN ST,,,POUGHKEEPSIE,NY,12601,800,-73.915375,41.699674
Dutchess,130203,Store,JAC,VIRK CONVENIENT MART INC,SUNOCO,740,MAIN ST,,,POUGHKEEPSIE,NY,12603,2500,-73.905207,41.69679
Dutchess,130745,Store,JAC,MARKET GROCERY INC,MARKET GROCERY,125,MARKET ST,,,POUGHKEEPSIE,NY,12601,2100,-73.930952,41.699821
Dutchess,130839,Store,JABC,BARTON ENTERTAINMENT CO LLC,BARTON ORCHARD,462,NOXON RD,,,POUGHKEEPSIE,NY,12603,1500,-73.841749,41.65383
Dutchess,131136,Store,A,WALGREEN EASTERN CO INC,WALGREENS #12633,827,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12603,15000,-73.871336,41.702552
Dutchess,130281,Store,JAC,SAM FOOD MART INC,SAM FOOD MART,6,HOOKER AVE,,,POUGHKEEPSIE,NY,12601,2400,-73.924595,41.698462
Dutchess,130037,Store,JAC,BARIGHT ENTERPRISES INC,MOBIL MART FOAM&WASH,1942,SOUTH RD,,,POUGHKEEPSIE,NY,12601,4000,-73.917333,41.622414
Dutchess,130434,Store,JABC,STOP&SHOP SUPERMARKET CO LLC THE,STOP&SHOP 540,59,BURNETT BLVD,,,POUGHKEEPSIE,NY,12603,75000,-73.889229,41.700441
Dutchess,710481,Store,JAC,TROPICAL FRESH INC,TROPICAL FRESH,432-440,MAIN ST,,,POUGHKEEPSIE,NY,12601,2500,-73.922192,41.701913
Dutchess,746545,Store,JAC,DK BREWERY CORP,ZEUS BREWING CO,178,MAIN STREET,,,POUGHKEEPSIE,NY,12601,0,-73.932133,41.704995
Dutchess,738732,Store,JAC,WALKWAY C-STORE INC,WALKWAY C STORE,128,WASHINGTON ST,,,POUGHKEEPSIE,NY,12601,2500,-73.929614,41.711033
Dutchess,135751,Store,A,BEVERAGE CENTER ASSOCIATES INC,BEVERAGE CENTER ASSOCIA,185,N HAMILTON ST,,,POUGHKEEPSIE,NY,12601,5000,-73.920146,41.712183
Dutchess,735794,Store,JAC,JUICEADE INC,JUICEADE,8,N CHERRY ST,,,POUGHKEEPSIE,NY,12601,0,-73.917797,41.701441
Dutchess,130874,Store,JABC,SHOP-RITE SUPERMARKETS INC,SHOPRITE #206 POUGHKEEP,1895,SOUTH RD SUITE 3B,,,POUGHKEEPSIE,NY,12601,77000,-73.916758,41.618503
Dutchess,130407,Store,A,ECKERD CORP,RITE AID 10714,3350,NORTH RD,,,POUGHKEEPSIE,NY,12601,10000,-73.930149,41.717966
Dutchess,130586,Store,JAC,CORDOVA MEX CORP,PANCHO VILLA DELI&GROCY,550,MAIN ST,,,POUGHKEEPSIE,NY,12601,4000,-73.915987,41.699928
Dutchess,721414,Store,JAC,R & K POUGHKEEPSIE GROCERY II INC,R & K POUGHKEEPSIE GROC,144,MILL ST,,,POUGHKEEPSIE,NY,12601,1200,-73.934425,41.707686
Dutchess,130554,Store,JAC,KRISHNA LLC,KRISHNA GROCERY,2300,SOUTH RD RT9,,,POUGHKEEPSIE,NY,12601,1600,-73.923967,41.646215
Dutchess,732041,Store,JAC,NSHAIWAT RAMI ADEL,ZAID MARKET & DELI,541,MAIN STREET,,,POUGHKEEPSIE,NY,12601,1000,-73.916713,41.700229
Dutchess,131062,Store,JAC,DELFORNOS MARKET PLACE INC,DELFORNOS MARKET PLACE,250,HOOKER AVE SUITE 4,,,POUGHKEEPSIE,NY,12603,2000,-73.911174,41.686326
Dutchess,130235,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 313,3648,NORTH RD,,,POUGHKEEPSIE,NY,12601,2500,,
Dutchess,724576,Store,JAC,CASA BLANCA DELI GROCERY INC,CASA BLANCA DELI GROCER,386,MAIN STREET,,,POUGHKEEPSIE,NY,12601,2500,-73.923964,41.702272
Dutchess,131085,Store,JAC,ARYA GASOLINE INC,ARYA GASOLINE,55,WASHINGTON ST,,,POUGHKEEPSIE,NY,12601,1800,-73.928842,41.707727
Dutchess,136145,Store,JAC,COUNTRY CORNERS DELI&GROCERY INC,COUNTRY CORNERS DELI,4,COOKINGHAM RD,,,POUGHKEEPSIE,NY,12601,2250,-73.861376,41.750277
Dutchess,717342,Store,JAC,RAN-DEV-OZ ENTERPRISES INC,ADAMS SUSHI,765,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12603,200,-73.877664,41.699834
Dutchess,737751,Store,JAC,A&S 1118 AGAM INC,A&S 1118 AGAM,1118,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12603,1200,-73.853292,41.718105
Dutchess,136200,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 302,1200,DUTCHESS TNPK,,,POUGHKEEPSIE,NY,12603,2400,-73.846962,41.721745
Dutchess,735974,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARTS -  2646,2646,SOUTH ROAD,,,POUGHKEEPSIE,NY,12601,0,-73.929155,41.670072
Dutchess,723382,Store,JAC,MYNG INC,HADDADS MIDDLE EASTERN,782,MAIN STREET,,,POUGHKEEPSIE,NY,12603,1500,-73.901961,41.69622
Dutchess,748264,Store,JAC,MAZIGH CORP,MAZIGH,531,MAIN ST,,,POUGHKEEPSIE,NY,12601,2500,-73.917456,41.700537
Dutchess,130507,Store,JAC,GERLACH BEVERAGE INC,THRIFTY BEVERAGE CENTER,489,FREEDOM PLAINS RD,,,POUGHKEEPSIE,NY,12603,3500,-73.854449,41.680229
Dutchess,731718,Store,JAC,LA POBLANA MEAT MARKET CORP,LA POBLANA MEAT MARKET,424,MAIN STREET,,,POUGHKEEPSIE,NY,12601,3000,-73.922562,41.701944
Dutchess,743766,Store,JAC,MACEDA MARIA,MUCHO BUENO FOOD PRODUC,70,S HAMILTON ST. 2ND FL,,,POUGHKEEPSIE,NY,12601,0,-73.925308,41.698193
Dutchess,704865,Store,JAC,RUBY PETRO INC,RUBY PETRO,718,FREEDOM PLAINS RD,,,POUGHKEEPSIE,NY,12603,1000,-73.83811,41.669619
Dutchess,748462,Store,JAC,JAHAANS FOOD MART INC,JAHAANS FOOD MART,718,FREEDOM PLAINS RD,,,POUGHKEEPSIE,NY,12603,1500,-73.83811,41.669619
Dutchess,739709,Store,A,1118 MANNAT INC,1118 MANNAT,818,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12601,800,-73.8716,41.702224
Dutchess,130656,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 03753,129,SOUTH AVE,,,POUGHKEEPSIE,NY,12601,10000,-73.931424,41.694131
Dutchess,131021,Store,A,WALGREEN EASTERN CO INC,WALGREENS #11961,704,FREEDOM PLAINS RD STE A1,,,POUGHKEEPSIE,NY,12603,13000,-73.839311,41.669831
Dutchess,739327,Store,JAC,LANA MAIN STOP DELI LLC,LANA MAIN STOP DELI,551,MAIN STREET,,,POUGHKEEPSIE,NY,12601,0,-73.915992,41.69993
Dutchess,131013,Store,A,CHRISTMAS TREE SHOPS INC,CHRISTMAS TREE SHOPS,1895,SOUTH RD SOUTH HILL MALL,,,POUGHKEEPSIE,NY,12601,35000,,
Dutchess,726120,Store,JAC,SUGAR OWL DESSERTS INC,SUGAR OWL DESSERTS,250,HOOKER AVE,,,POUGHKEEPSIE,NY,12603,0,-73.911174,41.686326
Dutchess,730788,Store,JAC,CASA MIA A PIECE OF MEXICO INC,CASA MIA MEXICAN PRODCE,5,N CLOVER STREET,,,POUGHKEEPSIE,NY,12601,650,-73.935424,41.706003
Dutchess,711866,Store,JAC,CORNELL COOPERATIVE EXT DUTCHESS,TASTE NY AT TODD HILL,4640,TACONIC STATE PKWY,,,POUGHKEEPSIE,NY,12603,0,,
Dutchess,135984,Store,JAC,CHESTNUT MART OF POUGHK INC,MOBIL ON THE RUN,2605,SOUTH RD,,,POUGHKEEPSIE,NY,12601,3000,-73.929717,41.667161
Dutchess,130826,Store,JAC,POWELL DENZIL,ROYS TROPICAL&AMER FOOD,109,SMITH ST,,,POUGHKEEPSIE,NY,12601,1270,-73.916439,41.705541
Dutchess,745261,Store,JAC,SHOPRITE SUPERMARKETS INC,SHOPRITE #274  NORTH&WI,10,WINSLOW GATE RD,,,POUGHKEEPSIE,NY,12601,0,,
Dutchess,130982,Store,JAC,SHAH GASOLINE INC,STOP N GO FOOD&GAS,190,INNIS AVE,,,POUGHKEEPSIE,NY,12601,3500,-73.902948,41.709135
Dutchess,702897,Store,JAC,CHESTNUT MART INC,CHESTNUT MART INC-2063,2063,NEW HACKENSACK RD,,,POUGHKEEPSIE,NY,12603,1600,-73.874639,41.655866
Dutchess,732370,Store,JAC,HUDSON RIVER HOUSING,POUGHKEEPSIE OPEN KITCH,8,N CHERRY ST,,,POUGHKEEPSIE,NY,12601,0,-73.917797,41.701441
Dutchess,730079,Store,JAC,EASY QUICK STOP INC,EASY QUICK STOP,737,MAIN ST,,,POUGHKEEPSIE,NY,12603,2000,-73.905804,41.69691
Dutchess,746210,Store,A,GA MINI MART INC,GA MINI MART,433,VIOLET AVE,,,POUGHKEEPSIE,NY,12601,800,-73.910221,41.74202
Dutchess,130718,Store,A,GKK PETROLEUM INC,SHELL,340,VIOLET AVE,,,POUGHKEEPSIE,NY,12601,1500,-73.909179,41.735926
Dutchess,719165,Store,JAC,SBRJ II INC,COMMUNITY DELI,22,DE LEVAL PL,,,POUGHKEEPSIE,NY,12601,1200,-73.90275,41.703926
Dutchess,130401,Store,JACHK,CK SEAFOODS INC,FOUR MAPLES FISH WHLSLR,1820,RT 376 NEW HACKENSACK PLAZA,,,POUGHKEEPSIE,NY,12603,1500,,
Dutchess,709396,Store,A,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL #14980,534,MAIN ST,,,POUGHKEEPSIE,NY,12601,0,-73.916928,41.700318
Dutchess,716871,Store,JAC,KAURMANI MART INC,KAURMANI MART,688,FREEDOM PLAINS RD,,,POUGHKEEPSIE,NY,12603,800,-73.840717,41.670335
Dutchess,130783,Store,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #2195,633,MAIN ST,,,POUGHKEEPSIE,NY,12601,5000,-73.911958,41.698239
Dutchess,749068,Store,JAC,MILL STREET MART INC,MILL STREET MART,195,MILL STREET,,,POUGHKEEPSIE,NY,12601,0,-73.931979,41.706924
Dutchess,713668,Store,JAC,PK DELI & CONVENIENCE INC,PK DELI & CONVENIENCE,315,MAIN ST,,,POUGHKEEPSIE,NY,12601,1700,-73.926514,41.703231
Dutchess,715295,Store,JAC,GOOD NEIGHBOR DELI & GROCERY INC,GOOD NEIGHBOR DELI GROC,32,HARRISON ST,,,POUGHKEEPSIE,NY,12601,1000,-73.91624,41.702732
Dutchess,130756,Store,JAC,GARDEN MINI DELI INC,GARDEN MINI DELI,163,GARDEN ST,,,POUGHKEEPSIE,NY,12601,4000,-73.923244,41.711799
Dutchess,130952,Store,JAC,NEW YORK BEEF CO LLC,NEW YORK BEEF CO,41,STRINGHAM RD,,,POUGHKEEPSIE,NY,12603,1200,-73.801929,41.652601
Dutchess,740669,Store,JAC,ROCCO DELI INC,ROCCO DELI,541,MAIN STREET STE 2,,,POUGHKEEPSIE,NY,12601,1000,-73.916713,41.700229
